#session,step,active_part,passive_part,action,msg_content,msg_type
9,0,bob,-,AnBx_Params,X33;alice;X32,anbxj.AnBx_Params
9,0,bob,alice,sent,@35fb3008,javax.crypto.SealedObject
9,0,alice,bob,received,@35fb3008,javax.crypto.SealedObject
9,0,alice,-,AnBx_Params,X33;alice;X32,anbxj.AnBx_Params
9,0,alice,-,eq_check,alice,java.lang.String.toString
9,0,alice,-,AnBx_Params,X33;alice;X32,anbxj.AnBx_Params
9,0,alice,-,inv_check,X32,anbxj.Crypto_ByteArray.toString
9,1,alice,-,generateNumberText3,X34,anbxj.Crypto_ByteArray
9,1,alice,-,generateNumber,X35,anbxj.Crypto_ByteArray
9,1,alice,-,AnBx_Params,X35;bob;X34,anbxj.AnBx_Params
9,1,alice,bob,sent,@2d3fcdbd,javax.crypto.SealedObject
9,1,bob,alice,received,@2d3fcdbd,javax.crypto.SealedObject
9,1,bob,-,AnBx_Params,X35;bob;X34,anbxj.AnBx_Params
9,1,bob,-,eq_check,bob,java.lang.String.toString
9,1,bob,-,AnBx_Params,X35;bob;X34,anbxj.AnBx_Params
9,1,bob,-,inv_check,X34,anbxj.Crypto_ByteArray.toString
10,0,bob,-,generateNumberText1,X36,anbxj.Crypto_ByteArray
10,0,bob,-,generateNumber,X37,anbxj.Crypto_ByteArray
10,0,bob,-,AnBx_Params,X37;alice;X36,anbxj.AnBx_Params
10,0,bob,alice,sent,@2096442d,javax.crypto.SealedObject
10,0,alice,bob,received,@2096442d,javax.crypto.SealedObject
10,0,alice,-,AnBx_Params,X37;alice;X36,anbxj.AnBx_Params
10,0,alice,-,eq_check,alice,java.lang.String.toString
10,0,alice,-,AnBx_Params,X37;alice;X36,anbxj.AnBx_Params
10,0,alice,-,inv_check,X36,anbxj.Crypto_ByteArray.toString
10,1,alice,-,generateNumberText3,X38,anbxj.Crypto_ByteArray
10,1,alice,-,generateNumber,X39,anbxj.Crypto_ByteArray
10,1,alice,-,AnBx_Params,X39;bob;X38,anbxj.AnBx_Params
10,1,alice,bob,sent,@54a097cc,javax.crypto.SealedObject
10,1,bob,alice,received,@54a097cc,javax.crypto.SealedObject
10,1,bob,-,AnBx_Params,X39;bob;X38,anbxj.AnBx_Params
10,1,bob,-,eq_check,bob,java.lang.String.toString
10,1,bob,-,AnBx_Params,X39;bob;X38,anbxj.AnBx_Params
10,1,bob,-,inv_check,X38,anbxj.Crypto_ByteArray.toString
